Band,SZA,VZA,RAA,R_atm
B1,50,0,50,0.097
B1,50,0,60,0.097
B1,50,0,70,0.097
B1,50,0,80,0.097
B1,50,0,90,0.097
B1,50,0,100,0.097
B1,50,0,110,0.097
B1,50,0,120,0.097
B1,50,0,130,0.097
B1,50,0,140,0.097
B1,50,0,150,0.097
B1,50,0,160,0.097
B1,50,0,170,0.097
B1,50,0,180,0.097
B1,50,10,0,0.11
B1,50,10,10,0.11
B1,50,10,20,0.109
B1,50,10,30,0.108
B1,50,10,40,0.107
B1,50,10,50,0.105
B1,50,10,60,0.104
B1,50,10,70,0.102
B1,50,10,80,0.1
B1,50,10,90,0.098
B1,50,10,100,0.096
B1,50,10,110,0.095
B1,50,10,120,0.093
B1,50,10,130,0.092
B1,50,10,140,0.091
B1,50,10,150,0.09
B1,50,10,160,0.089
B1,50,10,170,0.089
B1,50,10,180,0.089
B1,50,20,0,0.126
B1,50,20,10,0.125
B1,50,20,20,0.124
B1,50,20,30,0.122
B1,50,20,40,0.119
B1,50,20,50,0.116
B1,50,20,60,0.112
B1,50,20,70,0.108
B1,50,20,80,0.104
B1,50,20,90,0.101
B1,50,20,100,0.097
B1,50,20,110,0.094
B1,50,20,120,0.091
B1,50,20,130,0.089
B1,50,20,140,0.087
B1,50,20,150,0.086
B1,50,20,160,0.085
B1,50,20,170,0.084
B1,50,20,180,0.084
B1,50,30,0,0.145
B1,50,30,10,0.144
B1,50,30,20,0.142
B1,50,30,30,0.139
B1,50,30,40,0.134
B1,50,30,50,0.129
B1,50,30,60,0.123
B1,50,30,70,0.117
B1,50,30,80,0.111
B1,50,30,90,0.105
B1,50,30,100,0.1
B1,50,30,110,0.096
B1,50,30,120,0.093
B1,50,30,130,0.09
B1,50,30,140,0.088
B1,50,30,150,0.086
B1,50,30,160,0.086
B1,50,30,170,0.085
B1,50,30,180,0.085
B1,50,40,0,0.169
B1,50,40,10,0.168
B1,50,40,20,0.165
B1,50,40,30,0.16
B1,50,40,40,0.153
B1,50,40,50,0.145
B1,50,40,60,0.137
B1,50,40,70,0.128
B1,50,40,80,0.12
B1,50,40,90,0.113
B1,50,40,100,0.107
B1,50,40,110,0.102
B1,50,40,120,0.099
B1,50,40,130,0.096
B1,50,40,140,0.095
B1,50,40,150,0.094
B1,50,40,160,0.093
B1,50,40,170,0.093
B1,50,40,180,0.093
B1,50,50,0,0.2
B1,50,50,10,0.199
B1,50,50,20,0.194
B1,50,50,30,0.187
B1,50,50,40,0.178
B1,50,50,50,0.167
B1,50,50,60,0.156
B1,50,50,70,0.145
B1,50,50,80,0.135
B1,50,50,90,0.127
B1,50,50,100,0.12
B1,50,50,110,0.115
B1,50,50,120,0.112
B1,50,50,130,0.11
B1,50,50,140,0.11
B1,50,50,150,0.11
B1,50,50,160,0.111
B1,50,50,170,0.112
B1,50,50,180,0.112
B1,50,60,0,0.243
B1,50,60,10,0.241
B1,50,60,20,0.235
B1,50,60,30,0.226
B1,50,60,40,0.213
B1,50,60,50,0.199
B1,50,60,60,0.185
B1,50,60,70,0.171
B1,50,60,80,0.159
B1,50,60,90,0.15
B1,50,60,100,0.143
B1,50,60,110,0.139
B1,50,60,120,0.137
B1,50,60,130,0.138
B1,50,60,140,0.14
B1,50,60,150,0.143
B1,50,60,160,0.146
B1,50,60,170,0.147
B1,50,60,180,0.148
B1,50,70,0,0.312
B1,50,70,10,0.309
B1,50,70,20,0.301
B1,50,70,30,0.288
B1,50,70,40,0.271
B1,50,70,50,0.253
B1,50,70,60,0.235
B1,50,70,70,0.218
B1,50,70,80,0.203
B1,50,70,90,0.193
B1,50,70,100,0.187
B1,50,70,110,0.185
B1,50,70,120,0.188
B1,50,70,130,0.193
B1,50,70,140,0.199
B1,50,70,150,0.206
B1,50,70,160,0.213
